Balance Sheet,2020-12-31,2019-12-31,2018-12-31,2017-12-31
Current Assets,"1,383,433","1,430,408","2,131,915","2,839,392"
Inventory,"1,460,647","1,844,506","2,014,207","1,769,398"
Investments,"2,445,822","2,411,927","2,422,565","2,388,691"
Fixed Assets,"5,609,660","5,930,630","5,517,751","5,091,433"
Other Assets,"5,417,100","5,950,319","5,255,261","5,206,727"
Total Assets,"16,316,662","17,567,790","17,341,699","17,295,641"
Current Liabilities,"4,759,089","3,383,835","2,252,406","1,797,052"
Non-Current Liabilities,"5,714,300","6,829,724","7,211,834","7,491,469"
Other Liabilities,-,-,-,-
Shareholders Equity,"5,843,273","7,354,231","7,877,459","8,007,120"
Total Liabilities and Shareholder Equity,"16,316,662","17,567,790","17,341,699","17,295,641"
Minority Interests,-,-,-,-
All figures are in,Thousands,Thousands,Thousands,Thousands
Currency,SAR,SAR,SAR,SAR
Last Update Date,2021-03-31,2020-03-26,2019-03-28,2018-03-28
