Balance Sheet,2021-03-31,2020-09-30,2020-06-30,2020-03-31
Current Assets,"1,358,581","1,496,996","1,517,453","1,511,923"
Inventory,"1,467,595","1,469,956","1,484,143","1,500,319"
Investments,"2,475,458","2,425,833","2,406,215","2,405,484"
Fixed Assets,"5,571,560","5,796,037","5,827,114","5,883,463"
Other Assets,"5,349,217","5,597,499","5,726,844","5,812,265"
Total Assets,"16,222,411","16,786,321","16,961,769","17,113,454"
Current Liabilities,"4,755,955","4,405,152","4,677,070","3,547,212"
Non-Current Liabilities,"5,803,918","5,969,740","5,695,915","6,766,083"
Other Liabilities,-,-,-,-
Shareholders Equity,"5,662,538","6,411,429","6,588,784","6,800,159"
Total Liabilities and Shareholder Equity,"16,222,411","16,786,321","16,961,769","17,113,454"
Minority Interests,-,-,-,-
All figures are in,Thousands,Thousands,Thousands,Thousands
Currency,SAR,SAR,SAR,SAR
Last Update Date,2021-05-10,2020-11-10,2020-08-20,2020-06-15
