Statement of Income,2021-03-31,2020-09-30,2020-06-30,2020-03-31
Sales,"83,591","132,675","143,101","205,395"
Sales Cost,"100,663","122,158","126,100","244,720"
Total Income,"-17,072","10,517","17,001","-39,325"
Other Revenues,"42,380","38,061","35,859","30,497"
Total Revenues,"25,308","48,578","52,860","-8,828"
Admin and Marketing Expenses,"73,827","89,930","92,590","83,982"
Depreciation,"46,440","47,076","50,695","48,322"
Other Expenses,"81,278","85,161","100,753","126,619"
Total Expenses,"201,545","222,167","244,038","258,923"
Net Income Before Zakat,"-176,237","-173,589","-191,178","-267,751"
Zakat,"18,250","13,750","13,750","13,750"
Net Income,"-194,487","-187,339","-204,928","-281,501"
Balance First Period,-,-,-,-
Reserves,-,-,-,-
Cash Dividends,-,-,-,-
Other Distributions,-,-,-,-
Balance End Period,-,-,-,-
All figures are in,Thousands,Thousands,Thousands,Thousands
Currency,SAR,SAR,SAR,SAR
Last Update Date,2021-05-10,2020-11-10,2020-08-20,2020-06-15
